0.000us,0V
0.001us,5V
2.000us,5V
2.001us,0V
40.000us,0V
40.001us,5V
42.000us,5V
42.001us,0V
79.883us,0V
79.884us,5V
81.883us,5V
81.884us,0V
119.650us,0V
119.651us,5V
121.650us,5V
121.651us,0V
159.300us,0V
159.301us,5V
161.300us,5V
161.301us,0V
198.833us,0V
198.834us,5V
200.833us,5V
200.834us,0V
238.250us,0V
238.251us,5V
240.250us,5V
240.251us,0V
277.550us,0V
277.551us,5V
279.550us,5V
279.551us,0V
316.733us,0V
316.734us,5V
318.733us,5V
318.734us,0V
355.800us,0V
355.801us,5V
357.800us,5V
357.801us,0V
394.750us,0V
394.751us,5V
396.750us,5V
396.751us,0V
433.583us,0V
433.584us,5V
435.583us,5V
435.584us,0V
472.300us,0V
472.301us,5V
474.300us,5V
474.301us,0V
510.900us,0V
510.901us,5V
512.900us,5V
512.901us,0V
549.383us,0V
549.384us,5V
551.383us,5V
551.384us,0V
587.750us,0V
587.751us,5V
589.750us,5V
589.751us,0V
626.000us,0V
626.001us,5V
628.000us,5V
628.001us,0V
664.133us,0V
664.134us,5V
666.133us,5V
666.134us,0V
702.150us,0V
702.151us,5V
704.150us,5V
704.151us,0V
740.050us,0V
740.051us,5V
742.050us,5V
742.051us,0V
777.833us,0V
777.834us,5V
779.833us,5V
779.834us,0V
815.500us,0V
815.501us,5V
817.500us,5V
817.501us,0V
853.050us,0V
853.051us,5V
855.050us,5V
855.051us,0V
890.483us,0V
890.484us,5V
892.483us,5V
892.484us,0V
927.800us,0V
927.801us,5V
929.800us,5V
929.801us,0V
965.000us,0V
965.001us,5V
967.000us,5V
967.001us,0V
1002.083us,0V
1002.084us,5V
1004.083us,5V
1004.084us,0V
1039.050us,0V
1039.051us,5V
1041.050us,5V
1041.051us,0V
1075.900us,0V
1075.901us,5V
1077.900us,5V
1077.901us,0V
1112.633us,0V
1112.634us,5V
1114.633us,5V
1114.634us,0V
1149.250us,0V
1149.251us,5V
1151.250us,5V
1151.251us,0V
1185.750us,0V
1185.751us,5V
1187.750us,5V
1187.751us,0V
1222.133us,0V
1222.134us,5V
1224.133us,5V
1224.134us,0V
1258.400us,0V
1258.401us,5V
1260.400us,5V
1260.401us,0V
1294.550us,0V
1294.551us,5V
1296.550us,5V
1296.551us,0V
1330.583us,0V
1330.584us,5V
1332.583us,5V
1332.584us,0V
1366.500us,0V
1366.501us,5V
1368.500us,5V
1368.501us,0V
1402.300us,0V
1402.301us,5V
1404.300us,5V
1404.301us,0V
1437.983us,0V
1437.984us,5V
1439.983us,5V
1439.984us,0V
1473.550us,0V
1473.551us,5V
1475.550us,5V
1475.551us,0V
1509.000us,0V
1509.001us,5V
1511.000us,5V
1511.001us,0V
1544.333us,0V
1544.334us,5V
1546.333us,5V
1546.334us,0V
1579.550us,0V
1579.551us,5V
1581.550us,5V
1581.551us,0V
1614.650us,0V
1614.651us,5V
1616.650us,5V
1616.651us,0V
1649.633us,0V
1649.634us,5V
1651.633us,5V
1651.634us,0V
1684.500us,0V
1684.501us,5V
1686.500us,5V
1686.501us,0V
1719.250us,0V
1719.251us,5V
1721.250us,5V
1721.251us,0V
1753.883us,0V
1753.884us,5V
1755.883us,5V
1755.884us,0V
1788.400us,0V
1788.401us,5V
1790.400us,5V
1790.401us,0V
1822.800us,0V
1822.801us,5V
1824.800us,5V
1824.801us,0V
1857.083us,0V
1857.084us,5V
1859.083us,5V
1859.084us,0V
1891.250us,0V
1891.251us,5V
1893.250us,5V
1893.251us,0V
1925.300us,0V
1925.301us,5V
1927.300us,5V
1927.301us,0V
1959.233us,0V
1959.234us,5V
1961.233us,5V
1961.234us,0V
1993.050us,0V
1993.051us,5V
1995.050us,5V
1995.051us,0V
2026.750us,0V
2026.751us,5V
2028.750us,5V
2028.751us,0V
2060.333us,0V
2060.334us,5V
2062.333us,5V
2062.334us,0V
2093.800us,0V
2093.801us,5V
2095.800us,5V
2095.801us,0V
2127.150us,0V
2127.151us,5V
2129.150us,5V
2129.151us,0V
2160.383us,0V
2160.384us,5V
2162.383us,5V
2162.384us,0V
2193.500us,0V
2193.501us,5V
2195.500us,5V
2195.501us,0V
2226.500us,0V
2226.501us,5V
2228.500us,5V
2228.501us,0V
2259.383us,0V
2259.384us,5V
2261.383us,5V
2261.384us,0V
2292.150us,0V
2292.151us,5V
