0.000us,0V
1.660us,5V
10.665us,5V
12.325us,0V
21.330us,0V
22.990us,5V
29.610us,5V
31.270us,0V
42.660us,0V
44.320us,5V
48.726us,5V
50.386us,0V
63.990us,0V
65.650us,5V
68.169us,5V
69.829us,0V
85.320us,0V
86.980us,5V
88.076us,5V
89.736us,0V
106.650us,0V
108.310us,5V
108.548us,5V
110.208us,0V
127.980us,0V
129.640us,5V
129.646us,5V
131.306us,0V
149.310us,0V
150.970us,5V
151.387us,5V
153.047us,0V
170.640us,0V
172.300us,5V
173.741us,5V
175.401us,0V
191.970us,0V
193.630us,5V
196.635us,5V
198.295us,0V
213.300us,0V
214.960us,5V
219.958us,5V
221.618us,0V
234.630us,0V
236.290us,5V
243.567us,5V
245.227us,0V
255.960us,0V
257.620us,5V
267.299us,5V
268.959us,0V
277.290us,0V
278.950us,5V
290.983us,5V
292.643us,0V
298.620us,0V
300.280us,5V
314.451us,5V
316.111us,0V
319.950us,0V
321.610us,5V
337.550us,5V
339.210us,0V
341.280us,0V
342.940us,5V
360.154us,5V
361.814us,0V
362.610us,0V
364.270us,5V
382.171us,5V
383.831us,0V
383.940us,0V
385.600us,5V
403.553us,5V
405.213us,0V
405.270us,0V
406.930us,5V
424.296us,5V
425.956us,0V
426.600us,0V
428.260us,5V
444.442us,5V
446.102us,0V
447.930us,0V
449.590us,5V
464.076us,5V
465.736us,0V
469.260us,0V
470.920us,5V
483.318us,5V
484.978us,0V
490.590us,0V
492.250us,5V
502.317us,5V
503.977us,0V
511.920us,0V
513.580us,5V
521.241us,5V
522.901us,0V
533.250us,0V
534.910us,5V
540.261us,5V
541.921us,0V
554.580us,0V
556.240us,5V
559.542us,5V
561.202us,0V
575.910us,0V
577.570us,5V
579.230us,5V
580.890us,0V
597.240us,0V
598.900us,5V
599.442us,5V
601.102us,0V
618.570us,0V
620.230us,5V
620.259us,5V
621.919us,0V
639.900us,0V
641.560us,5V
641.717us,5V
643.377us,0V
661.230us,0V
662.890us,5V
663.807us,5V
665.467us,0V
682.560us,0V
684.220us,5V
686.475us,5V
688.135us,0V
703.890us,0V
705.550us,5V
709.624us,5V
711.284us,0V
725.220us,0V
726.880us,5V
733.126us,5V
734.786us,0V
746.550us,0V
748.210us,5V
756.825us,5V
758.485us,0V
767.880us,0V
769.540us,5V
780.551us,5V
782.211us,0V
789.210us,0V
790.870us,5V
804.135us,5V
805.795us,0V
810.540us,0V
812.200us,5V
827.414us,5V
829.074us,0V
831.870us,0V
833.530us,5V
850.249us,5V
851.909us,0V
853.200us,0V
854.860us,5V
872.534us,5V
874.194us,0V
874.530us,0V
876.190us,5V
894.200us,5V
895.860us,0V
895.860us,0V
897.520us,5V
915.222us,5V
916.882us,0V
917.190us,0V
918.850us,5V
935.624us,5V
937.284us,0V
938.520us,0V
940.180us,5V
955.470us,5V
957.130us,0V
959.850us,0V
961.510us,5V
974.868us,5V
976.528us,0V
981.180us,0V
982.840us,5V
993.955us,5V
995.615us,0V
1002.510us,0V
1004.170us,5V
1012.891us,5V
1014.551us,0V
1023.840us,0V
1025.500us,5V
1031.847us,5V
1033.507us,0V
1045.170us,0V
1046.830us,5V
1050.994us,5V
1052.654us,0V
1066.500us,0V
1068.160us,5V
1070.486us,5V
1072.146us,0V
1087.830us,0V
1089.490us,5V
1090.455us,5V
1092.115us,0V
1109.160us,0V
1110.820us,5V
1110.998us,5V
1112.658us,0V
1130.490us,0V
1132.150us,5V
1132.171us,5V
1133.831us,0V
1151.820us,0V
1153.480us,5V
1153.987us,5V
1155.647us,0V
1173.150us,0V
1174.810us,5V
1176.409us,5V
1178.069us,0V
1194.480us,0V
1196.140us,5V
1199.360us,5V
1201.020us,0V
1215.810us,0V
1217.470us,5V
1222.724us,5V
1224.384us,0V
1237.140us,0V
1238.800us,5V
1246.356us,5V
1248.016us,0V
1258.470us,0V
1260.130us,5V
1270.092us,5V
1271.752us,0V
1279.800us,0V
1281.460us,5V
1293.759us,5V
1295.419us,0V
1301.130us,0V
1302.790us,5V
1317.191us,5V
1318.851us,0V
1322.460us,0V
1324.120us,5V
1340.238us,5V
1341.898us,0V
1343.790us,0V
1345.450us,5V
1362.776us,5V
1364.436us,0V
1365.120us,0V
1366.780us,5V
1384.721us,5V
1386.381us,0V
1386.450us,0V
1388.110us,5V
1406.027us,5V
1407.687us,0V
1407.780us,0V
1409.440us,5V
1426.697us,5V
1428.357us,0V
1429.110us,0V
1430.770us,5V
1446.777us,5V
1448.437us,0V
1450.440us,0V
1452.100us,5V
1466.358us,5V
1468.018us,0V
1471.770us,0V
1473.430us,5V
1485.563us,5V
1487.223us,0V
1493.100us,0V
1494.760us,5V
1504.545us,5V
1506.205us,0V
1514.430us,0V
1516.090us,5V
1523.471us,5V
1525.131us,0V
1535.760us,0V
1537.420us,5V
1542.513us,5V
1544.173us,0V
1557.090us,0V
1558.750us,5V
1561.835us,5V
1563.495us,0V
1578.420us,0V
1580.080us,5V
1581.579us,5V
1583.239us,0V
1599.750us,0V
1601.410us,5V
1601.860us,5V
1603.520us,0V
1621.080us,0V
1622.740us,5V
1622.751us,5V
1624.411us,0V
1642.410us,0V
1644.070us,5V
