0.000us,5V
8.330us,0V
10.665us,0V
18.995us,5V
21.330us,5V
29.660us,0V
32.613us,0V
40.943us,5V
42.660us,5V
50.990us,0V
54.518us,0V
62.848us,5V
63.990us,5V
72.320us,0V
76.337us,0V
84.667us,5V
85.320us,5V
93.650us,0V
98.036us,0V
106.366us,5V
106.650us,5V
114.980us,0V
119.588us,0V
127.918us,5V
127.980us,5V
136.310us,0V
140.978us,0V
149.308us,5V
149.310us,5V
157.640us,0V
162.202us,0V
170.532us,5V
170.640us,5V
178.970us,0V
183.266us,0V
191.596us,5V
191.970us,5V
200.300us,0V
204.191us,0V
212.521us,5V
213.300us,5V
221.630us,0V
225.004us,0V
233.334us,5V
234.630us,5V
242.960us,0V
245.743us,0V
254.073us,5V
255.960us,5V
264.290us,0V
266.450us,0V
274.780us,5V
277.290us,5V
285.620us,0V
287.170us,0V
295.500us,5V
298.620us,5V
306.950us,0V
307.945us,0V
316.275us,5V
319.950us,5V
328.280us,0V
328.817us,0V
337.147us,5V
341.280us,5V
349.610us,0V
349.817us,0V
358.147us,5V
362.610us,5V
370.940us,0V
370.968us,0V
379.298us,5V
383.940us,5V
392.270us,0V
392.285us,0V
400.615us,5V
405.270us,5V
413.600us,0V
413.767us,0V
422.097us,5V
426.600us,5V
434.930us,0V
435.404us,0V
443.734us,5V
447.930us,5V
456.260us,0V
457.174us,0V
465.504us,5V
469.260us,5V
477.590us,0V
479.045us,0V
487.375us,5V
490.590us,5V
498.920us,0V
500.980us,0V
509.310us,5V
511.920us,5V
520.250us,0V
522.933us,0V
531.263us,5V
533.250us,5V
541.580us,0V
544.862us,0V
553.192us,5V
554.580us,5V
562.910us,0V
566.724us,0V
575.054us,5V
575.910us,5V
584.240us,0V
588.480us,0V
596.810us,5V
597.240us,5V
605.570us,0V
610.099us,0V
618.429us,5V
618.570us,5V
626.900us,0V
631.562us,0V
639.892us,5V
639.900us,5V
648.230us,0V
652.859us,0V
661.189us,5V
661.230us,5V
669.560us,0V
673.992us,0V
682.322us,5V
682.560us,5V
690.890us,0V
694.975us,0V
703.305us,5V
703.890us,5V
712.220us,0V
715.834us,0V
724.164us,5V
725.220us,5V
733.550us,0V
736.600us,0V
744.930us,5V
746.550us,5V
754.880us,0V
757.316us,0V
765.646us,5V
767.880us,5V
776.210us,0V
778.025us,0V
786.355us,5V
789.210us,5V
797.540us,0V
798.770us,0V
807.100us,5V
810.540us,5V
818.870us,0V
819.595us,0V
827.925us,5V
831.870us,5V
840.200us,0V
840.535us,0V
848.865us,5V
853.200us,5V
861.530us,0V
861.617us,0V
869.947us,5V
874.530us,5V
882.860us,0V
882.860us,0V
891.190us,5V
895.860us,5V
904.190us,0V
904.270us,0V
912.600us,5V
917.190us,5V
925.520us,0V
925.841us,0V
934.171us,5V
938.520us,5V
946.850us,0V
947.555us,0V
955.885us,5V
959.850us,5V
968.180us,0V
969.386us,0V
977.716us,5V
981.180us,5V
989.510us,0V
991.298us,0V
999.628us,5V
1002.510us,5V
1010.840us,0V
1013.249us,0V
1021.579us,5V
1023.840us,5V
1032.170us,0V
1035.194us,0V
1043.524us,5V
1045.170us,5V
1053.500us,0V
1057.090us,0V
1065.420us,5V
1066.500us,5V
1074.830us,0V
1078.897us,0V
1087.227us,5V
1087.830us,5V
1096.160us,0V
1100.580us,0V
