0.000us,0V
1.660us,5V
10.665us,5V
12.325us,0V
21.330us,0V
22.990us,5V
34.380us,5V
36.040us,0V
42.660us,0V
44.320us,5V
57.924us,5V
59.584us,0V
63.990us,0V
65.650us,5V
81.141us,5V
82.801us,0V
85.320us,0V
86.980us,5V
103.894us,5V
105.554us,0V
106.650us,0V
108.310us,5V
126.082us,5V
127.742us,0V
127.980us,0V
129.640us,5V
147.644us,5V
149.304us,0V
149.310us,0V
150.970us,5V
168.563us,5V
170.223us,0V
170.640us,0V
172.300us,5V
188.869us,5V
190.529us,0V
191.970us,0V
193.630us,5V
208.635us,5V
210.295us,0V
213.300us,0V
214.960us,5V
227.972us,5V
229.632us,0V
234.630us,0V
236.290us,5V
247.023us,5V
248.683us,0V
255.960us,0V
257.620us,5V
265.951us,5V
267.611us,0V
277.290us,0V
278.950us,5V
284.927us,5V
286.587us,0V
298.620us,0V
300.280us,5V
304.119us,5V
305.779us,0V
319.950us,0V
321.610us,5V
323.680us,5V
325.340us,0V
341.280us,0V
342.940us,5V
343.736us,5V
345.396us,0V
362.610us,0V
364.270us,5V
364.379us,5V
366.039us,0V
383.940us,0V
385.600us,5V
385.657us,5V
387.317us,0V
405.270us,0V
406.930us,5V
407.574us,5V
409.234us,0V
426.600us,0V
428.260us,5V
430.088us,5V
431.748us,0V
447.930us,0V
449.590us,5V
453.114us,5V
454.774us,0V
469.260us,0V
470.920us,5V
476.532us,5V
478.192us,0V
490.590us,0V
492.250us,5V
500.193us,5V
501.853us,0V
511.920us,0V
513.580us,5V
523.929us,5V
525.589us,0V
533.250us,0V
534.910us,5V
547.569us,5V
549.229us,0V
554.580us,0V
556.240us,5V
570.948us,5V
572.608us,0V
575.910us,0V
577.570us,5V
593.920us,5V
595.580us,0V
597.240us,0V
598.900us,5V
616.368us,5V
618.028us,0V
618.570us,0V
620.230us,5V
638.211us,5V
639.871us,0V
639.900us,0V
641.560us,5V
659.413us,5V
661.073us,0V
661.230us,0V
662.890us,5V
679.983us,5V
681.643us,0V
682.560us,0V
684.220us,5V
699.975us,5V
701.635us,0V
703.890us,0V
705.550us,5V
719.486us,5V
721.146us,0V
725.220us,0V
726.880us,5V
738.644us,5V
740.304us,0V
746.550us,0V
748.210us,5V
757.605us,5V
759.265us,0V
767.880us,0V
769.540us,5V
776.539us,5V
778.199us,0V
789.210us,0V
790.870us,5V
795.615us,5V
797.275us,0V
810.540us,0V
812.200us,5V
814.996us,5V
816.656us,0V
831.870us,0V
833.530us,5V
834.821us,5V
836.481us,0V
853.200us,0V
854.860us,5V
855.196us,5V
856.856us,0V
874.530us,0V
876.190us,5V
876.190us,5V
877.850us,0V
895.860us,0V
897.520us,5V
897.828us,5V
899.488us,0V
917.190us,0V
918.850us,5V
920.086us,5V
921.746us,0V
938.520us,0V
940.180us,5V
942.900us,5V
944.560us,0V
959.850us,0V
961.510us,5V
966.162us,5V
967.822us,0V
981.180us,0V
982.840us,5V
989.735us,5V
991.395us,0V
1002.510us,0V
1004.170us,5V
1013.459us,5V
1015.119us,0V
1023.840us,0V
1025.500us,5V
1037.163us,5V
1038.823us,0V
1045.170us,0V
1046.830us,5V
1060.676us,5V
1062.336us,0V
1066.500us,0V
1068.160us,5V
1083.844us,5V
1085.504us,0V
1087.830us,0V
1089.490us,5V
1106.535us,5V
1108.195us,0V
1109.160us,0V
1110.820us,5V
1128.652us,5V
1130.312us,0V
1130.490us,0V
1132.150us,5V
1150.139us,5V
1151.799us,0V
1151.820us,0V
1153.480us,5V
1170.983us,5V
1172.643us,0V
1173.150us,0V
1174.810us,5V
1191.221us,5V
1192.881us,0V
1194.480us,0V
1196.140us,5V
1210.930us,5V
1212.590us,0V
1215.810us,0V
1217.470us,5V
1230.226us,5V
1231.886us,0V
1237.140us,0V
1238.800us,5V
1249.254us,5V
1250.914us,0V
1258.470us,0V
1260.130us,5V
1268.178us,5V
1269.838us,0V
1279.800us,0V
1281.460us,5V
1287.171us,5V
1288.831us,0V
1301.130us,0V
1302.790us,5V
1306.399us,5V
1308.059us,0V
1322.460us,0V
1324.120us,5V
1326.012us,5V
1327.672us,0V
1343.790us,0V
1345.450us,5V
1346.134us,5V
1347.794us,0V
1365.120us,0V
1366.780us,5V
1366.849us,5V
1368.509us,0V
1386.450us,0V
1388.110us,5V
1388.203us,5V
1389.863us,0V
1407.780us,0V
1409.440us,5V
1410.193us,5V
1411.853us,0V
1429.110us,0V
1430.770us,5V
1432.773us,5V
1434.433us,0V
1450.440us,0V
1452.100us,5V
1455.852us,5V
1457.512us,0V
1471.770us,0V
1473.430us,5V
1479.307us,5V
1480.967us,0V
1493.100us,0V
1494.760us,5V
1502.985us,5V
1504.645us,0V
1514.430us,0V
1516.090us,5V
1526.719us,5V
1528.379us,0V
1535.760us,0V
1537.420us,5V
1550.337us,5V
1551.997us,0V
1557.090us,0V
1558.750us,5V
1573.675us,5V
1575.335us,0V
1578.420us,0V
1580.080us,5V
1596.591us,5V
1598.251us,0V
1599.750us,0V
1601.410us,5V
1618.970us,5V
1620.630us,0V
1621.080us,0V
1622.740us,5V
1640.739us,5V
1642.399us,0V
1642.410us,0V
1644.070us,5V
