0.000us,0V
1.660us,0V
1.660us,0V
3.320us,0V
21.330us,0V
22.990us,0V
27.760us,0V
29.420us,0V
42.660us,0V
44.320us,0V
53.519us,0V
55.179us,0V
63.990us,0V
65.650us,0V
78.621us,0V
80.281us,0V
85.320us,0V
86.980us,0V
102.797us,0V
104.457us,0V
106.650us,0V
108.310us,0V
125.843us,0V
127.503us,0V
127.980us,0V
129.640us,0V
147.637us,0V
149.297us,0V
149.310us,0V
150.970us,0V
168.146us,0V
169.806us,0V
170.640us,0V
172.300us,0V
187.428us,0V
189.088us,0V
191.970us,0V
193.630us,0V
205.630us,0V
207.290us,0V
213.300us,0V
214.960us,0V
222.975us,0V
224.635us,0V
234.630us,0V
236.290us,0V
239.747us,0V
241.407us,0V
255.960us,0V
257.620us,5V
258.968us,5V
260.628us,0V
277.290us,0V
278.950us,5V
285.006us,5V
286.666us,0V
298.620us,0V
300.280us,5V
310.612us,5V
312.272us,0V
319.950us,0V
321.610us,5V
335.480us,5V
337.140us,0V
341.280us,0V
342.940us,5V
359.357us,5V
361.017us,0V
362.610us,0V
364.270us,5V
382.062us,5V
383.722us,0V
383.940us,0V
385.600us,5V
403.496us,5V
405.156us,0V
405.270us,0V
406.930us,5V
423.653us,5V
425.313us,0V
426.600us,0V
428.260us,5V
442.615us,5V
444.275us,0V
447.930us,0V
449.590us,5V
460.551us,5V
462.211us,0V
469.260us,0V
470.920us,5V
477.705us,5V
479.365us,0V
490.590us,0V
492.250us,5V
494.375us,5V
496.035us,0V
511.920us,0V
513.580us,0V
516.268us,0V
517.928us,0V
533.250us,0V
534.910us,0V
542.218us,0V
543.878us,0V
554.580us,0V
556.240us,0V
567.647us,0V
569.307us,0V
575.910us,0V
577.570us,0V
592.260us,0V
593.920us,0V
597.240us,0V
598.900us,0V
615.825us,0V
617.485us,0V
618.570us,0V
620.230us,0V
638.181us,0V
639.841us,0V
639.900us,0V
641.560us,0V
659.255us,0V
660.915us,0V
661.230us,0V
662.890us,0V
679.065us,0V
680.725us,0V
682.560us,0V
684.220us,0V
697.721us,0V
699.381us,0V
703.890us,0V
705.550us,0V
715.411us,0V
717.071us,0V
725.220us,0V
726.880us,0V
732.398us,0V
734.058us,0V
746.550us,0V
748.210us,0V
748.991us,0V
750.651us,0V
767.880us,0V
769.540us,5V
773.553us,5V
775.213us,0V
789.210us,0V
790.870us,5V
799.389us,5V
801.049us,0V
810.540us,0V
812.200us,5V
824.617us,5V
826.277us,0V
831.870us,0V
833.530us,5V
848.959us,5V
850.619us,0V
853.200us,0V
854.860us,5V
872.198us,5V
873.858us,0V
874.530us,0V
876.190us,5V
894.200us,5V
895.860us,0V
895.860us,0V
897.520us,5V
914.915us,5V
916.575us,0V
917.190us,0V
918.850us,5V
934.388us,5V
936.048us,0V
938.520us,0V
940.180us,5V
952.751us,5V
954.411us,0V
959.850us,0V
961.510us,5V
970.216us,5V
971.876us,0V
981.180us,0V
982.840us,5V
987.060us,5V
988.720us,0V
1002.510us,0V
1004.170us,0V
1004.738us,0V
1006.398us,0V
1023.840us,0V
1025.500us,0V
1030.815us,0V
1032.475us,0V
1045.170us,0V
1046.830us,0V
1056.513us,0V
1058.173us,0V
1066.500us,0V
1068.160us,0V
1081.519us,0V
1083.179us,0V
1087.830us,0V
1089.490us,0V
1105.571us,0V
1107.231us,0V
1109.160us,0V
1110.820us,0V
1128.474us,0V
1130.134us,0V
1130.490us,0V
1132.150us,0V
1150.117us,0V
1151.777us,0V
1151.820us,0V
1153.480us,0V
1170.477us,0V
1172.137us,0V
1173.150us,0V
1174.810us,0V
1189.623us,0V
1191.283us,0V
1194.480us,0V
1196.140us,0V
1207.710us,0V
