0.000us,0V
0.001us,5V
10.665us,5V
10.666us,0V
21.330us,0V
21.331us,5V
34.819us,5V
34.820us,0V
42.660us,0V
42.661us,5V
58.772us,5V
58.773us,0V
63.990us,0V
63.991us,5V
82.335us,5V
82.336us,0V
85.320us,0V
85.321us,5V
105.351us,5V
105.352us,0V
106.650us,0V
106.651us,5V
127.697us,5V
127.698us,0V
127.980us,0V
127.981us,5V
149.302us,5V
149.303us,0V
149.310us,0V
149.311us,5V
170.145us,5V
170.146us,0V
170.640us,0V
170.641us,5V
190.263us,5V
190.264us,0V
191.970us,0V
191.971us,5V
209.740us,5V
209.741us,0V
213.300us,0V
213.301us,5V
228.711us,5V
228.712us,0V
234.630us,0V
234.631us,5V
247.342us,5V
247.343us,0V
255.960us,0V
255.961us,5V
265.827us,5V
265.828us,0V
277.290us,0V
277.291us,5V
284.369us,5V
284.370us,0V
298.620us,0V
298.621us,5V
303.167us,5V
303.168us,0V
319.950us,0V
319.951us,5V
322.403us,5V
322.404us,0V
341.280us,0V
341.281us,5V
342.224us,5V
342.225us,0V
362.610us,0V
362.611us,5V
362.740us,5V
362.741us,0V
383.940us,0V
383.941us,5V
384.008us,5V
384.009us,0V
405.270us,0V
405.271us,5V
406.033us,5V
406.034us,0V
426.600us,0V
426.601us,5V
428.765us,5V
428.766us,0V
447.930us,0V
447.931us,5V
452.105us,5V
452.106us,0V
469.260us,0V
469.261us,5V
475.907us,5V
475.908us,0V
490.590us,0V
490.591us,5V
499.997us,5V
499.998us,0V
511.920us,0V
511.921us,5V
524.176us,5V
524.177us,0V
533.250us,0V
533.251us,5V
548.242us,5V
548.243us,0V
554.580us,0V
554.581us,5V
571.999us,5V
572.000us,0V
575.910us,0V
575.911us,5V
595.273us,5V
595.274us,0V
597.240us,0V
597.241us,5V
617.927us,5V
617.928us,0V
618.570us,0V
618.571us,5V
639.864us,5V
639.865us,0V
639.900us,0V
639.901us,5V
661.043us,5V
661.044us,0V
661.230us,0V
661.231us,5V
681.473us,5V
681.474us,0V
682.560us,0V
682.561us,5V
701.219us,5V
701.220us,0V
703.890us,0V
703.891us,5V
720.394us,5V
720.395us,0V
725.220us,0V
725.221us,5V
739.152us,5V
739.153us,0V
746.550us,0V
746.551us,5V
757.677us,5V
757.678us,0V
767.880us,0V
767.881us,5V
776.169us,5V
776.170us,0V
789.210us,0V
789.211us,5V
794.831us,5V
794.832us,0V
810.540us,0V
810.541us,5V
813.852us,5V
813.853us,0V
831.870us,0V
831.871us,5V
833.399us,5V
833.400us,0V
853.200us,0V
853.201us,5V
853.599us,5V
853.600us,0V
874.530us,0V
874.531us,5V
874.531us,5V
874.532us,0V
895.860us,0V
895.861us,5V
896.225us,5V
896.226us,0V
917.190us,0V
917.191us,5V
918.655us,5V
918.656us,0V
938.520us,0V
938.521us,5V
941.742us,5V
941.743us,0V
959.850us,0V
959.851us,5V
965.360us,5V
965.361us,0V
981.180us,0V
981.181us,5V
989.346us,5V
989.347us,0V
1002.510us,0V
1002.511us,5V
1013.511us,5V
1013.512us,0V
1023.840us,0V
1023.841us,5V
1037.652us,5V
1037.653us,0V
1045.170us,0V
1045.171us,5V
1061.568us,5V
1061.569us,0V
1066.500us,0V
1066.501us,5V
1085.075us,5V
1085.076us,0V
1087.830us,0V
1087.831us,5V
1108.017us,5V
1108.018us,0V
1109.160us,0V
1109.161us,5V
1130.278us,5V
1130.279us,0V
1130.490us,0V
1130.491us,5V
1151.794us,5V
1151.795us,0V
1151.820us,0V
1151.821us,5V
1172.549us,5V
1172.550us,0V
1173.150us,0V
1173.151us,5V
1192.586us,5V
1192.587us,0V
1194.480us,0V
1194.481us,5V
1211.996us,5V
1211.997us,0V
1215.810us,0V
1215.811us,5V
1230.917us,5V
1230.918us,0V
1237.140us,0V
1237.141us,5V
1249.521us,5V
1249.522us,0V
1258.470us,0V
1258.471us,5V
1268.002us,5V
1268.003us,0V
1279.800us,0V
1279.801us,5V
1286.564us,5V
1286.565us,0V
1301.130us,0V
1301.131us,5V
1305.405us,5V
1305.406us,0V
1322.460us,0V
1322.461us,5V
1324.702us,5V
1324.703us,0V
1343.790us,0V
1343.791us,5V
1344.601us,5V
1344.602us,0V
1365.120us,0V
1365.121us,5V
1365.203us,5V
1365.204us,0V
1386.450us,0V
1386.451us,5V
1386.561us,5V
1386.562us,0V
